Metabolite Name,increased or decreased,Organ,Sex,Age,Species,InChIKey,Keggs,Lipid Maps,Pubchem CID,Standardized Name,Formula,Exact mass,Subclass,HMDB,DOI,Title
acetic acid,increased,feces,,80-99,Humans,QTBSBXVTEAMEQO-UHFFFAOYSA-N,C00033,LMFA01010002,176,Acetic acid,C2H4O2,60.0211,Saturated FA,HMDB0000042,https://doi.org/10.3390/nu8090564,Nutrient Intake Is Associated with Longevity Characterization by Metabolites and Element Profiles of Healthy Centenarians
short chain fatty acids,increased,feces,,80-99,Humans,VMHLLURERBWHNL-UHFFFAOYSA-M,No result,No result,517045,-,,,,No result,https://doi.org/10.3390/nu8090564,Nutrient Intake Is Associated with Longevity Characterization by Metabolites and Element Profiles of Healthy Centenarians
Mn,increased,fingernail samples,,80-99,Humans,PWHULOQIROXLJO-UHFFFAOYSA-N,C00034,No result,23930,-,,,,No result,https://doi.org/10.3390/nu8090564,Nutrient Intake Is Associated with Longevity Characterization by Metabolites and Element Profiles of Healthy Centenarians
Co,increased,fingernail samples,,80-99,Humans,GUTLYIVDDKVIGB-UHFFFAOYSA-N,No result,No result,104730,-,,,,No result,https://doi.org/10.3390/nu8090564,Nutrient Intake Is Associated with Longevity Characterization by Metabolites and Element Profiles of Healthy Centenarians
propionic acid,increased,feces,,80-99,Humans,XBDQKXXYIPTUBI-UHFFFAOYSA-N,C00163,LMFA01010003,1032,Propionic acid,C3H6O2,74.0368,Saturated FA,HMDB0000237,https://doi.org/10.3390/nu8090564,Nutrient Intake Is Associated with Longevity Characterization by Metabolites and Element Profiles of Healthy Centenarians
butyric acid,increased,feces,,80-99,Humans,FERIUCNNQQJTOY-UHFFFAOYSA-N,C00246,LMFA01010004,264,Butyric acid,C4H8O2,88.0524,Saturated FA,HMDB0000039,https://doi.org/10.3390/nu8090564,Nutrient Intake Is Associated with Longevity Characterization by Metabolites and Element Profiles of Healthy Centenarians
valeric acid,increased,feces,,80-99,Humans,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,C00803,LMFA01010005,7991,Valeric acid,C5H10O2,102.0681,Saturated FA,HMDB0000892,https://doi.org/10.3390/nu8090564,Nutrient Intake Is Associated with Longevity Characterization by Metabolites and Element Profiles of Healthy Centenarians
butyric acid,increased,feces,,80-99,Humans,FERIUCNNQQJTOY-UHFFFAOYSA-N,C00246,LMFA01010004,264,Butyric acid,C4H8O2,88.0524,Saturated FA,HMDB0000039,https://doi.org/10.3390/nu8090564,Nutrient Intake Is Associated with Longevity Characterization by Metabolites and Element Profiles of Healthy Centenarians
phenol,decreased,urine,,80-99,Humans,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,C00146,No result,20488062,Phenol,C6H6O,94.0419,Phenols,HMDB0000228,https://doi.org/10.3390/nu8090564,Nutrient Intake Is Associated with Longevity Characterization by Metabolites and Element Profiles of Healthy Centenarians
monounsaturated fatty acids,increased,whole organism,,,C. elegans,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,C00712,LMFA01030002,445639,Oleic acid,C18H34O2,282.2559,Unsaturated FA,HMDB0000207,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
polyunsaturated fatty acids,decreased,whole organism,,,C. elegans,QPEOIOLHJXXJFN-GNGJDXFDSA-N,No result,No result,56842239,-,,,,No result,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
N-acylethanolamines,decreased,whole organism,,,C. elegans,QZXSMBBFBXPQHI-UHFFFAOYSA-N,No result,LMFA08040041,8899,Lauroyl-EA,C14H29NO2,243.2198,NAE,No result,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
branched-chain amino acids,decreased,whole organism,,,C. elegans,OCUSNPIJIZCRSZ-ZTZWCFDHSA-N,No result,No result,9907842,-,,,,No result,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
monounsaturated fatty acid/polyunsaturated fatty acid ratio,increased,whole organism,,,C. elegans,ZQPPMHVWECSIRJ-KTKRTIGZSA-N/QPEOIOLHJXXJFN-GNGJDXFDSA-N,C00712/No result,LMFA01030002/No result,445639/56842239,-,,,,HMDB0000207/No result,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
oleic acid (OA; C18:1n-9),increased,whole organism,,,C. elegans,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,C00712,LMFA01030002,445639,Oleic acid,C18H34O2,282.2559,Unsaturated FA,HMDB0000207,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
palmitoleic acid (C16:1n-7),increased,whole organism,,,C. elegans,SECPZKHBENQXJG-FPLPWBNLSA-N,C08362,LMFA01030056,445638,Palmitoleic acid,C16H30O2,254.2246,Unsaturated FA,HMDB0003229,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
cis-vaccenic acid (C18:1n-7),increased,whole organism,,,C. elegans,UWHZIFQPPBDJPM-FPLPWBNLSA-N,No result,LMFA01030076,5282761,cis-Vaccenic acid,C18H34O2,282.2559,Unsaturated FA,HMDB0003231,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
arachidonic acid (AA),increased,whole organism,,,C. elegans,YZXBAPSDXZZRGB-DOFZRALJSA-N,C00219,LMFA01030001,444899,Arachidonic acid,C20H32O2,304.2402,Unsaturated FA,HMDB0001043,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
di-homo-γ-linoleic acid (DGLA),increased,whole organism,,,C. elegans,XSXIVVZCUAHUJO-HZJYTTRNSA-N,C16525,No result,6439848,"11Z,14Z-Eicosadienoic acid",C20H36O2,308.2715,Unsaturated FA,HMDB0005060,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
α‐linolenic acid (ALA),increased,whole organism,,,C. elegans,DTOSIQBPPRVQHS-PDBXOOCHSA-N,C06427,LMFA01030152,5280934,alpha-Linolenic acid,C18H30O2,278.2246,Unsaturated FA,HMDB0001388,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
eicosapentaenoylethanolamide (EPEA),increased,whole organism,,,C. elegans,WXLVTVRMTDZIMJ-JEBPEJKESA-N,No result,No result,No result,-,,,,No result,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
oleoylethanolamine,increased,whole organism,,,C. elegans,BOWVQLFMWHZBEF-KTKRTIGZSA-N,No result,LMFA08040015,5283454,Oleoyl-EA,C20H39NO2,325.2981,NAE,HMDB0002088,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
valine,increased,whole cell,,,Yeast,KZSNJWFQEVHDMF-BYPYZUCNSA-N,C00183,No result,6287,Valine,C5H11NO2,117.079,Amino acids,HMDB0000883,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
leucine,increased,whole cell,,,Yeast,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C00123,No result,6106,Leucine,C6H13NO2,131.0946,Amino acids,HMDB0000687,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
isoleucine,increased,whole cell,,,Yeast,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C00407,LMFA01100047,6306,Isoleucine,C6H13NO2,131.0946,Amino acids,HMDB0000172,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
branched-chain amino acids,increased,whole organism,,,C. elegans,OCUSNPIJIZCRSZ-ZTZWCFDHSA-N,No result,No result,9907842,-,,,,No result,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
exopolysaccharides,increased,feces,,,Bacteria,FOAPRBCMXZQJRS-FQEIHMINSA-N,No result,No result,3035434,-,,,,No result,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
bile acids,increased,feces,,,Modified bacteria,BHQCQFFYRZLCQQ-UMZBRFQRSA-N,C01558,No result,439520,,,,,No result,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
polyamines,increased,feces,,,Host and bacteria,PIICEJLVQHRZGT-UHFFFAOYSA-N,D01114,No result,3301,-,,,,HMDB0031225,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
acetate,increased,whole organism,,,C. elegans,QTBSBXVTEAMEQO-UHFFFAOYSA-M,No result,No result,175,Acetic acid,C2H4O2,60.0211,Saturated FA,No result,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
butyrate,increased,whole organism,,,C. elegans,FERIUCNNQQJTOY-UHFFFAOYSA-N,C00246,LMFA01010004,264,Butyric acid,C4H8O2,88.0524,Saturated FA,HMDB0000039,https://doi.org/10.1038/s41589-021-00837-z,Host and microbiota metabolic signals in aging and longevity
